pessoa feliz;predict_arvore;proba_arvore;predict_naive;proba_naive;predict_reg;proba_reg
1;1;0.7777777777777778;0;8.579697129590492e-18;1;0.9657051581339968
1;1;0.8461538461538461;0;2.4202476200220007e-19;1;0.8026450655637856
1;1;0.8571428571428571;0;3.2805976518334406e-10;1;0.9999915119862703
1;1;0.8571428571428571;0;8.082139536815717e-12;1;0.9994818167309528
1;1;1.0;1;1.0;1;0.9897642228993654
1;1;1.0;0;3.797471765008447e-17;1;0.8897581628860695
1;1;1.0;0;3.06516669565876e-19;1;0.9410933831846432
1;0;0.5;0;7.157581636489497e-20;1;0.7906703590130328
1;1;0.8571428571428571;0;1.2570383938120372e-17;1;0.8523426024274393
1;0;0.5;0;1.8067856597370697e-17;0;0.36161018632321307
1;1;1.0;0;3.2711606419829412e-12;1;0.9995660156877179
1;1;1.0;0;6.102190899156254e-37;1;0.644066326674764
1;1;0.8461538461538461;1;1.0;1;0.9942394736683122
1;1;1.0;0;7.116136131490664e-12;1;0.9773278460468006
1;1;0.9;0;3.000655193518013e-18;1;0.8789489933661812
1;1;1.0;1;1.0;1;0.9998373905360822
1;1;0.875;0;3.919527969803513e-18;1;0.7303197584243222
0;0;0.2857142857142857;0;2.1582721511366964e-20;0;0.2053376146621362
0;0;0.3333333333333333;0;1.0847836722653193e-17;1;0.984098784722924
0;1;0.9;0;0.0;0;0.03893338439145749
1;1;1.0;0;7.551130793601744e-18;1;0.8312246980970867
1;1;1.0;1;1.0;1;0.9978199356311825
1;1;0.9;0;2.9939085674655073e-16;1;0.9601240935700567
0;0;0.3333333333333333;0;1.1857334372838315e-17;1;0.7311963169482912
1;1;0.7777777777777778;1;1.0;1;0.9913611616817772
1;1;0.6666666666666666;0;5.263977572097275e-19;1;0.6270956637239691
0;0;0.3333333333333333;0;5.396326145621524e-18;1;0.7821666634909777
1;1;1.0;0;1.4185861547534591e-12;1;0.9956610811611785
1;1;0.8461538461538461;1;1.0;1;0.9981779907303236
0;1;0.8461538461538461;0;2.6508350892410065e-19;1;0.6061143204378101
1;1;0.7777777777777778;0;1.8347292718319832e-20;1;0.5633291425069074
1;1;0.8461538461538461;1;1.0;1;0.995505162605268
1;1;0.7777777777777778;1;1.0;1;0.9310634650616004
0;0;0.5;0;2.1784594924285247e-24;0;0.3179962529580145
1;1;1.0;0;1.4991627633221899e-12;1;0.9868489694287941
0;1;0.5714285714285714;0;2.796661557524933e-18;1;0.6044827052900098
1;1;1.0;0;2.0454017979823863e-10;1;0.9989919593589136
1;1;0.7777777777777778;0;1.2954058461987031e-27;1;0.81844284694733
1;1;1.0;0;8.641368305553138e-17;1;0.9523898845614266
1;1;0.8571428571428571;0;6.669538541481252e-06;1;0.9999491750113149
0;0;0.3333333333333333;0;4.9384886361934225e-20;1;0.509330665169353
1;1;1.0;0;1.5141701458157912e-12;1;0.997680241238905
0;0;0.5;0;1.413977799905219e-19;0;0.27950118376848576
0;1;0.6666666666666666;0;1.0697362477648855e-18;1;0.5182389261158492
1;1;0.9;1;1.0;1;0.8901282165012026
1;1;1.0;0;2.186997539580216e-20;1;0.7835140125561553
1;1;1.0;0;8.37282310684772e-09;1;0.9996150287857904
0;1;0.875;0;4.027251568785077e-16;1;0.7332477050782498
1;1;1.0;0;5.171547061508311e-10;1;0.9997101205780884
1;1;0.8571428571428571;0;1.2570383938120372e-17;1;0.8523426024274393
0;0;0.5;0;2.3586670759565533e-28;0;0.2806865355813241
1;1;0.8461538461538461;0;5.771376059050815e-20;1;0.6892481179461095
0;0;0.2857142857142857;0;3.5804244851335283e-20;1;0.5526965576631421
1;1;0.8571428571428571;0;1.6228945721439496e-15;1;0.8767368511795759
1;1;0.9;1;1.0;1;0.9913629112885766
1;1;0.9;0;1.475378309921778e-17;1;0.721593722005408
1;0;0.2857142857142857;0;8.339803775841062e-20;0;0.27871493312852963
0;1;0.9;0;6.3336068962596044e-18;1;0.6936979769687786
1;1;0.9;1;1.0;1;0.9977741721063071
0;1;0.8571428571428571;0;6.50055207540062e-20;0;0.4689610523836485
1;1;0.9;0;1.0324568065247283e-17;1;0.9120059268502195
1;1;0.8461538461538461;1;1.0;1;0.9908758326865537
1;1;1.0;1;1.0;1;0.9999737054831772
1;1;0.8461538461538461;0;1.0019140727424402e-19;1;0.6319158420252692
1;0;0.5;0;2.484552500050905e-16;1;0.8992091110347771
1;1;1.0;0;6.277340070637196e-16;1;0.9122631435783723
0;0;0.2857142857142857;0;3.868813657967529e-20;0;0.16784844599617874
1;1;0.9;0;2.2601572766959383e-20;1;0.8144632855919468
1;1;1.0;0;2.3770808165331678e-11;1;0.9999851737105712
1;1;0.9;0;4.468027954253244e-16;1;0.8778451906980296
1;1;1.0;1;1.0;1;0.9851085907170403
0;0;0.5;0;6.95678952427382e-16;1;0.7383635412881978
1;1;0.8461538461538461;0;5.873386355313426e-20;1;0.5851964165976868
1;1;1.0;0;1.2426050195225696e-17;1;0.9414303267798536
0;0;0.3333333333333333;0;3.209581776020251e-50;0;0.018687778189347415
1;1;0.9;0;7.678551852143215e-19;1;0.98634712032214
1;1;1.0;0;1.3484515262624933e-19;1;0.9639935442843229
1;1;0.875;0;1.6278807562439923e-11;1;0.9826891167883635
1;1;0.8461538461538461;0;8.52199444508546e-22;1;0.6732219550868368
1;1;1.0;0;6.958668861966725e-19;1;0.9670579264923902
1;1;1.0;0;1.1322728626555536e-19;1;0.8077783884048075
1;1;1.0;0;2.4220325504478508e-18;1;0.9763938730405607
1;1;1.0;0;8.451708240106749e-20;1;0.9649329042440179
1;1;1.0;0;1.1398539216274866e-15;1;0.9342294672601255
1;1;1.0;0;7.094092752375303e-20;1;0.9848493122779876
1;1;1.0;1;1.0;1;0.9999978973810603
1;1;0.5714285714285714;0;4.1735627041246027e-19;0;0.46373055052223916
1;1;1.0;1;1.0;1;0.9994449055590995
0;1;0.6666666666666666;0;3.759247336790076e-17;1;0.8386856217777791
1;1;0.875;0;1.2000527398454295e-11;1;0.9673242831554266
1;1;1.0;0;2.9611433091408614e-14;1;0.9846666560736825
1;1;1.0;1;1.0;1;0.9893229142324843
1;1;0.5714285714285714;0;2.683279244893968e-20;1;0.798078032448697
1;0;0.5;0;7.261440636906954e-17;1;0.788706734128261
1;1;1.0;0;2.1063727782091264e-26;1;0.8812641047631525
1;1;0.6666666666666666;0;3.494886030962024e-17;1;0.8397540512242637
1;1;1.0;0;2.2132997647704938e-12;1;0.9989196291010215
1;1;0.875;0;1.6794554144209723e-17;0;0.4470371335951995
